% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
0.0000	1	1	1	88.1194	0
0.0000	2	2	2	14.4522	0
0.0000	3	3	3	9.0565	0
0.0000	1	4	4	9.8303	0
0.0000	2	5	1	41.7854	0
0.0000	3	6	2	93.2031	0
0.0000	1	7	3	6.1480	0
0.0000	2	8	4	220.0251	0
0.0000	3	9	1	334.3859	0
0.0000	1	10	2	98.1285	0
0.0100	1	1	1	29.1826	0
0.0100	2	2	2	46.6685	0
0.0100	3	3	3	5.5274	0
0.0100	1	4	4	6.5590	0
0.0100	2	5	1	99.7876	0
0.0100	3	6	2	69.4424	0
0.0100	1	7	3	4.0771	0
0.0100	2	8	4	689.2131	0
0.0100	3	9	1	375.6800	0
0.0100	1	10	2	106.4039	0
0.0200	1	1	1	18.6147	0
0.0200	2	2	2	14.8587	0
0.0200	3	3	3	5.9539	0
0.0200	1	4	4	7.9574	0
0.0200	2	5	1	50.6638	0
0.0200	3	6	2	128.9557	0
0.0200	1	7	3	2.4207	0
0.0200	2	8	4	1256.9258	0
0.0200	3	9	1	299.1905	0
0.0200	1	10	2	191.0144	0
0.0300	1	1	1	43.2350	0
0.0300	2	2	2	32.9074	0
0.0300	3	3	3	10.1905	0
0.0300	1	4	4	15.9983	0
0.0300	2	5	1	55.2832	0
0.0300	3	6	2	106.1282	0
0.0300	1	7	3	16.3020	0
0.0300	2	8	4	1210.4401	0
0.0300	3	9	1	362.0740	0
0.0300	1	10	2	58.5482	0
0.0400	1	1	1	20.3108	0
0.0400	2	2	2	23.6573	0
0.0400	3	3	3	9.1703	0
0.0400	1	4	4	6.7670	0
0.0400	2	5	1	48.3874	0
0.0400	3	6	2	240.7309	0
0.0400	1	7	3	8.2267	0
0.0400	2	8	4	495.8231	0
0.0400	3	9	1	275.5112	0
0.0400	1	10	2	75.8881	0
0.0500	1	1	1	32.0588	0
0.0500	2	2	2	17.8154	0
0.0500	3	3	3	7.1755	0
0.0500	1	4	4	5.2516	0
0.0500	2	5	1	44.5762	0
0.0500	3	6	2	93.2788	0
0.0500	1	7	3	1.6157	0
0.0500	2	8	4	2250.1993	0
0.0500	3	9	1	499.2213	0
0.0500	1	10	2	96.3840	0
0.0600	1	1	1	40.2701	0
0.0600	2	2	2	13.0894	0
0.0600	3	3	3	20.3355	0
0.0600	1	4	4	23.3619	0
0.0600	2	5	1	52.9304	0
0.0600	3	6	2	201.5316	0
0.0600	1	7	3	7.0313	0
0.0600	2	8	4	492.0551	0
0.0600	3	9	1	260.5594	0
0.0600	1	10	2	126.8770	0
0.0700	1	1	1	33.6981	0
0.0700	2	2	2	21.1260	0
0.0700	3	3	3	9.2924	0
0.0700	1	4	4	9.7762	0
0.0700	2	5	1	52.4945	0
0.0700	3	6	2	80.3179	0
0.0700	1	7	3	4.8514	0
0.0700	2	8	4	524.4914	0
0.0700	3	9	1	514.1987	0
0.0700	1	10	2	47.1155	0
0.0800	1	1	1	73.4557	0
0.0800	2	2	2	45.9844	0
0.0800	3	3	3	8.7652	0
0.0800	1	4	4	3.1806	0
0.0800	2	5	1	45.1017	0
0.0800	3	6	2	132.0957	0
0.0800	1	7	3	4.4050	0
0.0800	2	8	4	776.9694	0
0.0800	3	9	1	689.2856	0
0.0800	1	10	2	175.4169	0
0.0900	1	1	1	29.2831	0
0.0900	2	2	2	12.0793	0
0.0900	3	3	3	8.9954	0
0.0900	1	4	4	9.9236	0
0.0900	2	5	1	69.4891	0
0.0900	3	6	2	110.3784	0
0.0900	1	7	3	9.2169	0
0.0900	2	8	4	2492.8739	0
0.0900	3	9	1	514.8519	0
0.0900	1	10	2	131.1264	0
0.1000	1	1	1	42.7058	0
0.1000	2	2	2	22.1725	0
0.1000	3	3	3	18.6697	0
0.1000	1	4	4	8.5013	0
0.1000	2	5	1	58.5206	0
0.1000	3	6	2	149.8907	0
0.1000	1	7	3	5.9912	0
0.1000	2	8	4	563.3314	0
0.1000	3	9	1	425.3677	0
0.1000	1	10	2	135.1122	0
0.1100	1	1	1	60.5420	0
0.1100	2	2	2	21.1505	0
0.1100	3	3	3	19.6818	0
0.1100	1	4	4	7.8431	0
0.1100	2	5	1	130.4860	0
0.1100	3	6	2	67.7485	0
0.1100	1	7	3	9.5438	0
0.1100	2	8	4	1365.3211	0
0.1100	3	9	1	262.9964	0
0.1100	1	10	2	174.8501	0
0.1200	1	1	1	89.5467	0
0.1200	2	2	2	10.0650	0
0.1200	3	3	3	14.6079	0
0.1200	1	4	4	3.8488	0
0.1200	2	5	1	39.2790	0
0.1200	3	6	2	331.4339	0
0.1200	1	7	3	6.1737	0
0.1200	2	8	4	659.9478	0
0.1200	3	9	1	357.7755	0
0.1200	1	10	2	385.0394	0
0.1300	1	1	1	22.0361	0
0.1300	2	2	2	17.7518	0
0.1300	3	3	3	23.8150	0
0.1300	1	4	4	29.4337	0
0.1300	2	5	1	60.2467	0
0.1300	3	6	2	91.2178	0
0.1300	1	7	3	21.8473	0
0.1300	2	8	4	2435.0088	0
0.1300	3	9	1	552.4768	0
0.1300	1	10	2	105.3828	0
0.1400	1	1	1	51.5383	0
0.1400	2	2	2	27.5357	0
0.1400	3	3	3	14.3218	0
0.1400	1	4	4	25.1170	0
0.1400	2	5	1	97.4914	0
0.1400	3	6	2	101.1296	0
0.1400	1	7	3	16.1433	0
0.1400	2	8	4	1388.9988	0
0.1400	3	9	1	570.6912	0
0.1400	1	10	2	309.7576	0
0.1500	1	1	1	32.4467	0
0.1500	2	2	2	29.9471	0
0.1500	3	3	3	9.8875	0
0.1500	1	4	4	6.4231	0
0.1500	2	5	1	78.3386	0
0.1500	3	6	2	542.2705	0
0.1500	1	7	3	3.7690	0
0.1500	2	8	4	1216.6634	0
0.1500	3	9	1	573.6510	0
0.1500	1	10	2	171.3486	0
0.1600	1	1	1	52.6568	0
0.1600	2	2	2	17.1502	0
0.1600	3	3	3	14.4055	0
0.1600	1	4	4	9.5622	0
0.1600	2	5	1	24.9599	0
0.1600	3	6	2	302.9817	0
0.1600	1	7	3	14.0124	0
0.1600	2	8	4	1295.8420	0
0.1600	3	9	1	486.3483	0
0.1600	1	10	2	272.0958	0
0.1700	1	1	1	62.8842	0
0.1700	2	2	2	48.3626	0
0.1700	3	3	3	11.5364	0
0.1700	1	4	4	25.3456	0
0.1700	2	5	1	81.0920	0
0.1700	3	6	2	195.3898	0
0.1700	1	7	3	5.1336	0
0.1700	2	8	4	1476.4021	0
0.1700	3	9	1	305.0247	0
0.1700	1	10	2	126.4140	0
0.1800	1	1	1	39.7333	0
0.1800	2	2	2	19.9075	0
0.1800	3	3	3	35.8985	0
0.1800	1	4	4	26.0813	0
0.1800	2	5	1	172.7628	0
0.1800	3	6	2	103.7692	0
0.1800	1	7	3	9.7104	0
0.1800	2	8	4	727.2238	0
0.1800	3	9	1	331.2403	0
0.1800	1	10	2	113.3398	0
0.1900	1	1	1	104.1433	0
0.1900	2	2	2	27.5741	0
0.1900	3	3	3	22.4534	0
0.1900	1	4	4	18.9833	0
0.1900	2	5	1	209.6956	0
0.1900	3	6	2	93.8088	0
0.1900	1	7	3	17.0733	0
0.1900	2	8	4	2275.8445	0
0.1900	3	9	1	296.5454	0
0.1900	1	10	2	279.8462	0
0.2000	1	1	1	69.7152	0
0.2000	2	2	2	30.2438	0
0.2000	3	3	3	9.5324	0
0.2000	1	4	4	10.4739	0
0.2000	2	5	1	189.3251	0
0.2000	3	6	2	188.2145	0
0.2000	1	7	3	13.9085	0
0.2000	2	8	4	946.3647	0
0.2000	3	9	1	328.9883	0
0.2000	1	10	2	293.9502	0
0.2100	1	1	1	32.4669	0
0.2100	2	2	2	28.0767	0
0.2100	3	3	3	14.3237	0
0.2100	1	4	4	15.5404	0
0.2100	2	5	1	68.6570	0
0.2100	3	6	2	228.5275	0
0.2100	1	7	3	13.5109	0
0.2100	2	8	4	1933.8551	0
0.2100	3	9	1	302.8644	0
0.2100	1	10	2	158.6002	0
0.2200	1	1	1	105.7841	0
0.2200	2	2	2	51.8120	0
0.2200	3	3	3	7.5646	0
0.2200	1	4	4	17.5225	0
0.2200	2	5	1	30.2670	0
0.2200	3	6	2	196.4594	0
0.2200	1	7	3	23.7563	0
0.2200	2	8	4	899.5579	0
0.2200	3	9	1	327.8352	0
0.2200	1	10	2	259.4490	0
0.2300	1	1	1	30.1895	0
0.2300	2	2	2	25.8165	0
0.2300	3	3	3	18.8624	0
0.2300	1	4	4	11.2045	0
0.2300	2	5	1	67.9781	0
0.2300	3	6	2	272.6912	0
0.2300	1	7	3	12.1194	0
0.2300	2	8	4	1584.5997	0
0.2300	3	9	1	414.6140	0
0.2300	1	10	2	217.8745	0
0.2400	1	1	1	58.2697	0
0.2400	2	2	2	42.8335	0
0.2400	3	3	3	11.4471	0
0.2400	1	4	4	13.8519	0
0.2400	2	5	1	48.2331	0
0.2400	3	6	2	191.2520	0
0.2400	1	7	3	6.8984	0
0.2400	2	8	4	842.4036	0
0.2400	3	9	1	548.2445	0
0.2400	1	10	2	203.4772	0
0.2500	1	1	1	88.5842	0
0.2500	2	2	2	28.4832	0
0.2500	3	3	3	17.3894	0
0.2500	1	4	4	19.4434	0
0.2500	2	5	1	93.5155	0
0.2500	3	6	2	133.0665	0
0.2500	1	7	3	10.7501	0
0.2500	2	8	4	1666.2859	0
0.2500	3	9	1	488.9560	0
0.2500	1	10	2	70.6747	0
0.2600	1	1	1	66.4183	0
0.2600	2	2	2	96.1012	0
0.2600	3	3	3	12.1920	0
0.2600	1	4	4	10.7747	0
0.2600	2	5	1	90.3663	0
0.2600	3	6	2	224.4312	0
0.2600	1	7	3	17.3578	0
0.2600	2	8	4	788.4168	0
0.2600	3	9	1	681.5820	0
0.2600	1	10	2	242.1320	0
0.2700	1	1	1	57.5422	0
0.2700	2	2	2	40.3819	0
0.2700	3	3	3	23.0250	0
0.2700	1	4	4	22.4239	0
0.2700	2	5	1	44.7671	0
0.2700	3	6	2	282.4006	0
0.2700	1	7	3	9.6880	0
0.2700	2	8	4	1449.2079	0
0.2700	3	9	1	501.3117	0
0.2700	1	10	2	171.4532	0
0.2800	1	1	1	105.6353	0
0.2800	2	2	2	33.0185	0
0.2800	3	3	3	8.5006	0
0.2800	1	4	4	12.4335	0
0.2800	2	5	1	81.7248	0
0.2800	3	6	2	338.6325	0
0.2800	1	7	3	13.0871	0
0.2800	2	8	4	940.8071	0
0.2800	3	9	1	1512.0223	0
0.2800	1	10	2	206.1584	0
0.2900	1	1	1	108.7514	0
0.2900	2	2	2	31.6991	0
0.2900	3	3	3	18.0269	0
0.2900	1	4	4	21.7311	0
0.2900	2	5	1	130.6600	0
0.2900	3	6	2	309.9190	0
0.2900	1	7	3	14.6741	0
0.2900	2	8	4	1192.5568	0
0.2900	3	9	1	366.4880	0
0.2900	1	10	2	210.6960	0
0.3000	1	1	1	91.7749	0
0.3000	2	2	2	30.3101	0
0.3000	3	3	3	22.7523	0
0.3000	1	4	4	28.4744	0
0.3000	2	5	1	48.3038	0
0.3000	3	6	2	127.9771	0
0.3000	1	7	3	9.0945	0
0.3000	2	8	4	1569.4987	0
0.3000	3	9	1	370.0306	0
0.3000	1	10	2	332.9027	0
0.3100	1	1	1	71.5365	0
0.3100	2	2	2	33.7005	0
0.3100	3	3	3	7.0864	0
0.3100	1	4	4	7.8412	0
0.3100	2	5	1	82.6159	0
0.3100	3	6	2	69.4406	0
0.3100	1	7	3	15.2405	0
0.3100	2	8	4	1248.0260	0
0.3100	3	9	1	2067.2147	0
0.3100	1	10	2	509.4200	0
0.3200	1	1	1	53.2035	0
0.3200	2	2	2	30.9739	0
0.3200	3	3	3	21.3421	0
0.3200	1	4	4	30.9526	0
0.3200	2	5	1	33.5561	0
0.3200	3	6	2	80.0521	0
0.3200	1	7	3	7.0563	0
0.3200	2	8	4	1725.5085	0
0.3200	3	9	1	573.6630	0
0.3200	1	10	2	283.1146	0
0.3300	1	1	1	32.6388	0
0.3300	2	2	2	10.9769	0
0.3300	3	3	3	19.6412	0
0.3300	1	4	4	9.4595	0
0.3300	2	5	1	27.6136	0
0.3300	3	6	2	191.0312	0
0.3300	1	7	3	13.2760	0
0.3300	2	8	4	1222.9313	0
0.3300	3	9	1	362.3734	0
0.3300	1	10	2	157.6084	0
0.3400	1	1	1	46.7696	0
0.3400	2	2	2	16.7689	0
0.3400	3	3	3	9.3118	0
0.3400	1	4	4	17.2254	0
