% start	end	CellId	IMSI	RNTI	LCID	nTxPDUs	TxBytes	nRxPDUs	RxBytes	DLdelay	DLdelayMin	DLdelayMax	DLdelayStdDev	PDUSize	PDUSizeMin	PDUSizeMax	PDUSizeStdDev
0.0000	0.1000	1	1	1	3	558	815145	538	786294	1.895173e-03	9.475865e-04	5.685519e-03	5.685519e-04	1447.17	723.59	2170.76	289.43
0.0000	0.1000	2	2	2	3	1195	1746054	1172	1711791	9.355682e-04	4.677841e-04	2.806705e-03	2.806705e-04	1333.00	666.50	1999.49	266.60
0.0000	0.1000	3	3	3	3	669	977381	658	961949	2.256747e-03	1.128374e-03	6.770242e-03	6.770242e-04	1349.64	674.82	2024.45	269.93
0.0000	0.1000	1	4	4	3	871	1273111	841	1229297	2.648333e-03	1.324167e-03	7.945000e-03	7.945000e-04	1473.64	736.82	2210.46	294.73
0.0000	0.1000	2	5	1	3	357	522122	341	498326	1.060316e-03	5.301580e-04	3.180948e-03	3.180948e-04	1327.21	663.60	1990.81	265.44
0.0000	0.1000	3	6	2	3	235	344326	227	331946	2.759211e-03	1.379605e-03	8.277632e-03	8.277632e-04	1355.15	677.57	2032.72	271.03
0.0000	0.1000	1	7	3	3	227	332729	216	316184	4.095761e-03	2.047880e-03	1.228728e-02	1.228728e-03	1520.40	760.20	2280.60	304.08
0.0000	0.1000	2	8	4	3	1087	1587984	1080	1577114	3.154161e-03	1.577080e-03	9.462482e-03	9.462482e-04	1410.62	705.31	2115.93	282.12
0.0000	0.1000	3	9	1	3	612	893656	608	888616	2.413853e-03	1.206927e-03	7.241559e-03	7.241559e-04	1348.92	674.46	2023.38	269.78
0.0000	0.1000	1	10	2	3	957	1398109	934	1364745	2.194951e-03	1.097475e-03	6.584853e-03	6.584853e-04	1321.42	660.71	1982.13	264.28
0.1000	0.2000	1	1	1	3	590	862567	588	858580	1.321532e-03	6.607660e-04	3.964596e-03	3.964596e-04	1433.83	716.92	2150.75	286.77
0.1000	0.2000	2	2	2	3	1179	1722352	1175	1716297	4.059790e-03	2.029895e-03	1.217937e-02	1.217937e-03	1498.95	749.48	2248.43	299.79
0.1000	0.2000	3	3	3	3	730	1066921	723	1056648	4.490847e-03	2.245424e-03	1.347254e-02	1.347254e-03	1406.86	703.43	2110.29	281.37
