% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
0.0000	1	1	1	61.6836	0
0.0000	2	2	2	10.1166	0
0.0000	3	3	3	6.3395	0
0.0000	1	4	4	6.8812	0
0.0000	2	5	1	29.2498	0
0.0000	3	6	2	65.2422	0
0.0000	1	7	3	4.3036	0
0.0000	2	8	4	154.0176	0
0.0000	3	9	1	234.0701	0
0.0000	1	10	2	68.6900	0
0.0100	1	1	1	20.4278	0
0.0100	2	2	2	32.6680	0
0.0100	3	3	3	3.8692	0
0.0100	1	4	4	4.5913	0
0.0100	2	5	1	69.8513	0
0.0100	3	6	2	48.6097	0
0.0100	1	7	3	2.8540	0
0.0100	2	8	4	482.4492	0
0.0100	3	9	1	262.9760	0
0.0100	1	10	2	74.4827	0
0.0200	1	1	1	13.0303	0
0.0200	2	2	2	10.4011	0
0.0200	3	3	3	4.1677	0
0.0200	1	4	4	5.5702	0
0.0200	2	5	1	35.4646	0
0.0200	3	6	2	90.2690	0
0.0200	1	7	3	1.6945	0
0.0200	2	8	4	879.8481	0
0.0200	3	9	1	209.4333	0
0.0200	1	10	2	133.7101	0
0.0300	1	1	1	30.2645	0
0.0300	2	2	2	23.0352	0
0.0300	3	3	3	7.1334	0
0.0300	1	4	4	11.1988	0
0.0300	2	5	1	38.6982	0
0.0300	3	6	2	74.2898	0
0.0300	1	7	3	11.4114	0
0.0300	2	8	4	847.3080	0
0.0300	3	9	1	253.4518	0
0.0300	1	10	2	40.9837	0
0.0400	1	1	1	14.2176	0
0.0400	2	2	2	16.5601	0
0.0400	3	3	3	6.4192	0
0.0400	1	4	4	4.7369	0
0.0400	2	5	1	33.8712	0
0.0400	3	6	2	168.5117	0
0.0400	1	7	3	5.7587	0
0.0400	2	8	4	347.0762	0
0.0400	3	9	1	192.8578	0
0.0400	1	10	2	53.1216	0
0.0500	1	1	1	22.4411	0
0.0500	2	2	2	12.4708	0
0.0500	3	3	3	5.0228	0
0.0500	1	4	4	3.6761	0
0.0500	2	5	1	31.2033	0
0.0500	3	6	2	65.2952	0
0.0500	1	7	3	1.1310	0
0.0500	2	8	4	1575.1395	0
0.0500	3	9	1	349.4549	0
0.0500	1	10	2	67.4688	0
0.0600	1	1	1	28.1891	0
0.0600	2	2	2	9.1626	0
0.0600	3	3	3	14.2349	0
0.0600	1	4	4	16.3534	0
0.0600	2	5	1	37.0512	0
0.0600	3	6	2	141.0721	0
0.0600	1	7	3	4.9219	0
0.0600	2	8	4	344.4386	0
0.0600	3	9	1	182.3916	0
0.0600	1	10	2	88.8139	0
0.0700	1	1	1	23.5887	0
0.0700	2	2	2	14.7882	0
0.0700	3	3	3	6.5047	0
0.0700	1	4	4	6.8434	0
0.0700	2	5	1	36.7462	0
0.0700	3	6	2	56.2225	0
0.0700	1	7	3	3.3960	0
0.0700	2	8	4	367.1440	0
0.0700	3	9	1	359.9391	0
0.0700	1	10	2	32.9809	0
0.0800	1	1	1	51.4190	0
0.0800	2	2	2	32.1891	0
0.0800	3	3	3	6.1357	0
0.0800	1	4	4	2.2264	0
0.0800	2	5	1	31.5712	0
0.0800	3	6	2	92.4670	0
0.0800	1	7	3	3.0835	0
0.0800	2	8	4	543.8786	0
0.0800	3	9	1	482.4999	0
0.0800	1	10	2	122.7918	0
0.0900	1	1	1	20.4982	0
0.0900	2	2	2	8.4555	0
0.0900	3	3	3	6.2967	0
0.0900	1	4	4	6.9465	0
0.0900	2	5	1	48.6424	0
0.0900	3	6	2	77.2649	0
0.0900	1	7	3	6.4519	0
0.0900	2	8	4	1745.0118	0
0.0900	3	9	1	360.3963	0
0.0900	1	10	2	91.7885	0
0.1000	1	1	1	29.8941	0
0.1000	2	2	2	15.5208	0
0.1000	3	3	3	13.0688	0
0.1000	1	4	4	5.9509	0
0.1000	2	5	1	40.9644	0
0.1000	3	6	2	104.9235	0
0.1000	1	7	3	4.1939	0
0.1000	2	8	4	394.3320	0
0.1000	3	9	1	297.7574	0
0.1000	1	10	2	94.5785	0
0.1100	1	1	1	42.3794	0
0.1100	2	2	2	14.8054	0
0.1100	3	3	3	13.7773	0
0.1100	1	4	4	5.4902	0
0.1100	2	5	1	91.3402	0
0.1100	3	6	2	47.4239	0
0.1100	1	7	3	6.6806	0
0.1100	2	8	4	955.7248	0
0.1100	3	9	1	184.0975	0
0.1100	1	10	2	122.3950	0
0.1200	1	1	1	62.6827	0
0.1200	2	2	2	7.0455	0
0.1200	3	3	3	10.2255	0
0.1200	1	4	4	2.6942	0
0.1200	2	5	1	27.4953	0
0.1200	3	6	2	232.0038	0
0.1200	1	7	3	4.3216	0
0.1200	2	8	4	461.9635	0
0.1200	3	9	1	250.4429	0
0.1200	1	10	2	269.5276	0
0.1300	1	1	1	15.4253	0
0.1300	2	2	2	12.4263	0
0.1300	3	3	3	16.6705	0
0.1300	1	4	4	20.6036	0
0.1300	2	5	1	42.1727	0
0.1300	3	6	2	63.8525	0
0.1300	1	7	3	15.2931	0
0.1300	2	8	4	1704.5062	0
0.1300	3	9	1	386.7337	0
0.1300	1	10	2	73.7680	0
0.1400	1	1	1	36.0768	0
0.1400	2	2	2	19.2750	0
0.1400	3	3	3	10.0253	0
0.1400	1	4	4	17.5819	0
0.1400	2	5	1	68.2439	0
0.1400	3	6	2	70.7907	0
0.1400	1	7	3	11.3003	0
0.1400	2	8	4	972.2992	0
0.1400	3	9	1	399.4838	0
0.1400	1	10	2	216.8303	0
0.1500	1	1	1	22.7127	0
0.1500	2	2	2	20.9630	0
0.1500	3	3	3	6.9213	0
0.1500	1	4	4	4.4962	0
0.1500	2	5	1	54.8370	0
0.1500	3	6	2	379.5893	0
0.1500	1	7	3	2.6383	0
0.1500	2	8	4	851.6644	0
0.1500	3	9	1	401.5557	0
0.1500	1	10	2	119.9440	0
0.1600	1	1	1	36.8597	0
0.1600	2	2	2	12.0052	0
