% start	end	CellId	IMSI	RNTI	LCID	nTxPDUs	TxBytes	nRxPDUs	RxBytes	DLdelay	DLdelayMin	DLdelayMax	DLdelayStdDev	PDUSize	PDUSizeMin	PDUSizeMax	PDUSizeStdDev
0.0000	0.1000	1	1	1	3	49	72629	49	71848	1.078402e-03	5.392008e-04	3.235205e-03	3.235205e-04	1464.16	732.08	2196.23	292.83
0.0000	0.1000	2	2	2	3	335	489535	334	488283	4.831597e-03	2.415798e-03	1.449479e-02	1.449479e-03	1550.05	775.03	2325.08	310.01
0.0000	0.1000	3	3	3	3	201	294329	196	286899	2.685038e-04	1.342519e-04	8.055113e-04	8.055113e-05	1579.52	789.76	2369.28	315.90
0.0000	0.1000	1	4	4	3	99	145912	95	139965	4.850965e-03	2.425482e-03	1.455289e-02	1.455289e-03	1540.34	770.17	2310.51	308.07
0.0000	0.1000	2	5	1	3	98	143265	94	138432	2.004519e-03	1.002259e-03	6.013556e-03	6.013556e-04	1393.23	696.62	2089.85	278.65
0.0000	0.1000	3	6	2	3	72	105198	71	104157	4.652982e-04	2.326491e-04	1.395894e-03	1.395894e-04	1602.17	801.09	2403.26	320.43
0.0000	0.1000	1	7	3	3	138	201588	136	198856	3.879225e-03	1.939612e-03	1.163767e-02	1.163767e-03	1335.62	667.81	2003.43	267.12
0.0000	0.1000	2	8	4	3	196	287565	187	274100	1.623813e-03	8.119067e-04	4.871440e-03	4.871440e-04	1408.95	704.48	2113.43	281.79
0.0000	0.1000	3	9	1	3	128	187970	126	185274	3.827847e-03	1.913923e-03	1.148354e-02	1.148354e-03	1477.89	738.95	2216.84	295.58
0.0000	0.1000	1	10	2	3	140	204770	133	195636	2.540030e-04	1.270015e-04	7.620090e-04	7.620090e-05	1499.83	749.92	2249.75	299.97
0.1000	0.2000	1	1	1	3	44	64399	43	63611	1.221111e-03	6.105555e-04	3.663333e-03	3.663333e-04	1336.48	668.24	2004.72	267.30
0.1000	0.2000	2	2	2	3	325	474621	322	471570	4.037993e-03	2.018997e-03	1.211398e-02	1.211398e-03	1368.48	684.24	2052.72	273.70
0.1000	0.2000	3	3	3	3	226	329972	215	315289	1.216882e-03	6.084411e-04	3.650647e-03	3.650647e-04	1438.72	719.36	2158.07	287.74
0.1000	0.2000	1	4	4	3	107	157426	103	151302	6.873403e-04	3.436701e-04	2.062021e-03	2.062021e-04	1412.58	706.29	2118.88	282.52
0.1000	0.2000	2	5	1	3	99	144918	99	144713	4.815992e-03	2.407996e-03	1.444798e-02	1.444798e-03	1387.52	693.76	2081.28	277.50
0.1000	0.2000	3	6	2	3	72	105145	70	102530	3.522459e-04	1.761229e-04	1.056738e-03	1.056738e-04	1395.36	697.68	2093.05	279.07
0.1000	0.2000	1	7	3	3	135	198555	130	191030	3.393464e-03	1.696732e-03	1.018039e-02	1.018039e-03	1536.39	768.20	2304.59	307.28
0.1000	0.2000	2	8	4	3	190	278800	186	272328	5.424199e-04	2.712099e-04	1.627260e-03	1.627260e-04	1557.91	778.95	2336.86	311.58
0.1000	0.2000	3	9	1	3	123	180236	117	171373	2.609256e-03	1.304628e-03	7.827768e-03	7.827768e-04	1380.14	690.07	2070.21	276.03
0.1000	0.2000	1	10	2	3	133	194409	127	186025	1.771225e-03	8.856126e-04	5.313675e-03	5.313675e-04	1347.13	673.57	2020.70	269.43
0.2000	0.3000	1	1	1	3	45	67105	44	64561	5.562036e-04	2.781018e-04	1.668611e-03	1.668611e-04	1575.99	787.99	2363.98	315.20
0.2000	0.3000	2	2	2	3	346	505866	344	503263	4.446723e-03	2.223362e-03	1.334017e-02	1.334017e-03	1541.72	770.86	2312.59	308.34
0.2000	0.3000	3	3	3	3	229	334358	217	317793	5.972106e-04	2.986053e-04	1.791632e-03	1.791632e-04	1507.74	753.87	2261.61	301.55
0.2000	0.3000	1	4	4	3	108	159080	104	153013	1.694459e-03	8.472293e-04	5.083376e-03	5.083376e-04	1531.98	765.99	2297.96	306.40
0.2000	0.3000	2	5	1	3	99	144980	96	140396	1.399492e-03	6.997458e-04	4.198475e-03	4.198475e-04	1385.24	692.62	2077.87	277.05
0.2000	0.3000	3	6	2	3	77	112452	75	109655	2.926829e-03	1.463415e-03	8.780487e-03	8.780487e-04	1457.82	728.91	2186.72	291.56
0.2000	0.3000	1	7	3	3	128	187222	122	179518	4.708247e-03	2.354124e-03	1.412474e-02	1.412474e-03	1592.55	796.27	2388.82	318.51
0.2000	0.3000	2	8	4	3	207	302508	206	302003	4.821738e-03	2.410869e-03	1.446521e-02	1.446521e-03	1563.08	781.54	2344.62	312.62
0.2000	0.3000	3	9	1	3	123	180040	120	176050	4.687158e-03	2.343579e-03	1.406148e-02	1.406148e-03	1517.24	758.62	2275.86	303.45
0.2000	0.3000	1	10	2	3	131	191372	127	186763	4.399128e-03	2.199564e-03	1.319738e-02	1.319738e-03	1530.30	765.15	2295.46	306.06
0.3000	0.4000	1	1	1	3	51	75273	51	74558	4.348654e-03	2.174327e-03	1.304596e-02	1.304596e-03	1580.67	790.33	2371.00	316.13
0.3000	0.4000	2	2	2	3	397	580617	393	574688	4.461026e-03	2.230513e-03	1.338308e-02	1.338308e-03	1412.69	706.35	2119.04	282.54
0.3000	0.4000	3	3	3	3	234	341713	228	333898	1.504052e-03	7.520261e-04	4.512156e-03	4.512156e-04	1486.52	743.26	2229.78	297.30
0.3000	0.4000	1	4	4	3	112	163859	107	157434	3.152163e-03	1.576082e-03	9.456490e-03	9.456490e-04	1338.92	669.46	2008.38	267.78
0.3000	0.4000	2	5	1	3	94	137420	94	137254	2.629872e-03	1.314936e-03	7.889615e-03	7.889615e-04	1408.30	704.15	2112.45	281.66
0.3000	0.4000	3	6	2	3	82	120611	82	120385	4.196303e-03	2.098151e-03	1.258891e-02	1.258891e-03	1517.22	758.61	2275.84	303.44
0.3000	0.4000	1	7	3	3	131	192334	129	189589	3.334967e-03	1.667484e-03	1.000490e-02	1.000490e-03	1395.74	697.87	2093.61	279.15
0.3000	0.4000	2	8	4	3	210	307159	207	303440	1.705281e-04	8.526405e-05	5.115843e-04	5.115843e-05	1347.89	673.95	2021.84	269.58
0.3000	0.4000	3	9	1	3	144	211699	141	206125	9.486892e-04	4.743446e-04	2.846067e-03	2.846067e-04	1440.68	720.34	2161.03	288.14
0.3000	0.4000	1	10	2	3	120	176332	118	173033	2.565368e-03	1.282684e-03	7.696103e-03	7.696103e-04	1564.10	782.05	2346.14	312.82
0.4000	0.5000	1	1	1	3	50	73157	49	71641	4.707128e-03	2.353564e-03	1.412138e-02	1.412138e-03	1482.04	741.02	2223.06	296.41
0.4000	0.5000	2	2	2	3	312	456704	303	442685	4.809834e-03	2.404917e-03	1.442950e-02	1.442950e-03	1578.36	789.18	2367.54	315.67
0.4000	0.5000	3	3	3	3	239	349134	227	332083	4.090896e-03	2.045448e-03	1.227269e-02	1.227269e-03	1396.30	698.15	2094.45	279.26
0.4000	0.5000	1	4	4	3	102	150014	101	148539	1.481969e-03	7.409847e-04	4.445908e-03	4.445908e-04	1365.81	682.91	2048.72	273.16
0.4000	0.5000	2	5	1	3	100	146383	99	144746	1.769937e-03	8.849687e-04	5.309812e-03	5.309812e-04	1585.78	792.89	2378.67	317.16
0.4000	0.5000	3	6	2	3	87	127169	86	126549	2.575737e-03	1.287868e-03	7.727210e-03	7.727210e-04	1555.33	777.66	2332.99	311.07
0.4000	0.5000	1	7	3	3	131	192571	125	183821	1.664637e-03	8.323184e-04	4.993910e-03	4.993910e-04	1591.42	795.71	2387.13	318.28
0.4000	0.5000	2	8	4	3	206	300772	199	290676	3.395340e-03	1.697670e-03	1.018602e-02	1.018602e-03	1533.69	766.85	2300.54	306.74
0.4000	0.5000	3	9	1	3	150	219050	146	214116	2.263499e-03	1.131750e-03	6.790498e-03	6.790498e-04	1573.21	786.60	2359.81	314.64
0.4000	0.5000	1	10	2	3	127	186860	122	178461	5.121233e-04	2.560617e-04	1.536370e-03	1.536370e-04	1518.68	759.34	2278.02	303.74
0.5000	0.6000	1	1	1	3	49	72335	47	70058	4.082718e-03	2.041359e-03	1.224815e-02	1.224815e-03	1590.60	795.30	2385.89	318.12
0.5000	0.6000	2	2	2	3	329	481639	328	479383	6.448677e-04	3.224338e-04	1.934603e-03	1.934603e-04	1457.85	728.92	2186.77	291.57
0.5000	0.6000	3	3	3	3	252	368529	247	362065	3.755620e-03	1.877810e-03	1.126686e-02	1.126686e-03	1484.34	742.17	2226.52	296.87
0.5000	0.6000	1	4	4	3	108	158519	108	158227	1.595569e-04	7.977846e-05	4.786708e-04	4.786708e-05	1597.20	798.60	2395.81	319.44
0.5000	0.6000	2	5	1	3	97	142137	95	138747	3.184053e-03	1.592027e-03	9.552160e-03	9.552160e-04	1517.16	758.58	2275.74	303.43
0.5000	0.6000	3	6	2	3	82	120288	79	115963	4.757016e-03	2.378508e-03	1.427105e-02	1.427105e-03	1573.96	786.98	2360.94	314.79
0.5000	0.6000	1	7	3	3	128	187700	124	181631	2.959915e-03	1.479957e-03	8.879745e-03	8.879745e-04	1336.70	668.35	2005.05	267.34
0.5000	0.6000	2	8	4	3	218	319480	209	306103	4.563543e-03	2.281772e-03	1.369063e-02	1.369063e-03	1554.18	777.09	2331.27	310.84
0.5000	0.6000	3	9	1	3	164	240557	156	228846	1.944670e-03	9.723352e-04	5.834011e-03	5.834011e-04	1550.68	775.34	2326.02	310.14
0.5000	0.6000	1	10	2	3	138	202768	135	197381	2.132616e-03	1.066308e-03	6.397847e-03	6.397847e-04	1393.83	696.92	2090.75	278.77
0.6000	0.7000	1	1	1	3	49	71673	47	68975	2.307666e-03	1.153833e-03	6.922999e-03	6.922999e-04	1351.71	675.86	2027.57	270.34
0.6000	0.7000	2	2	2	3	342	499357	331	483331	6.564322e-04	3.282161e-04	1.969297e-03	1.969297e-04	1510.10	755.05	2265.15	302.02
0.6000	0.7000	3	3	3	3	266	388547	260	380017	4.395603e-03	2.197801e-03	1.318681e-02	1.318681e-03	1431.82	715.91	2147.73	286.36
0.6000	0.7000	1	4	4	3	113	166032	108	157851	1.817879e-03	9.089395e-04	5.453637e-03	5.453637e-04	1486.26	743.13	2229.38	297.25
0.6000	0.7000	2	5	1	3	87	127564	86	126184	2.043060e-03	1.021530e-03	6.129179e-03	6.129179e-04	1495.65	747.82	2243.47	299.13
0.6000	0.7000	3	6	2	3	88	128872	85	124546	3.203664e-03	1.601832e-03	9.610993e-03	9.610993e-04	1384.12	692.06	2076.18	276.82
0.6000	0.7000	1	7	3	3	127	186413	124	181509	3.371033e-03	1.685516e-03	1.011310e-02	1.011310e-03	1364.32	682.16	2046.48	272.86
0.6000	0.7000	2	8	4	3	192	280501	186	272938	1.111035e-03	5.555176e-04	3.333106e-03	3.333106e-04	1420.37	710.18	2130.55	284.07
0.6000	0.7000	3	9	1	3	156	228078	149	217606	4.380535e-03	2.190268e-03	1.314161e-02	1.314161e-03	1582.89	791.45	2374.34	316.58
0.6000	0.7000	1	10	2	3	128	187814	123	180389	1.915313e-03	9.576567e-04	5.745940e-03	5.745940e-04	1455.48	727.74	2183.22	291.10
0.7000	0.8000	1	1	1	3	52	76392	50	73536	3.595413e-03	1.797706e-03	1.078624e-02	1.078624e-03	1575.40	787.70	2363.10	315.08
0.7000	0.8000	2	2	2	3	352	514088	338	494616	1.419292e-03	7.096459e-04	4.257875e-03	4.257875e-04	1424.17	712.08	2136.25	284.83
0.7000	0.8000	3	3	3	3	257	375831	253	369800	3.966939e-03	1.983470e-03	1.190082e-02	1.190082e-03	1459.55	729.77	2189.32	291.91
0.7000	0.8000	1	4	4	3	101	148706	97	142219	1.490502e-03	7.452510e-04	4.471506e-03	4.471506e-04	1420.02	710.01	2130.03	284.00
0.7000	0.8000	2	5	1	3	106	155609	102	149674	5.987341e-04	2.993671e-04	1.796202e-03	1.796202e-04	1358.63	679.32	2037.95	271.73
0.7000	0.8000	3	6	2	3	88	129675	88	129005	4.931454e-04	2.465727e-04	1.479436e-03	1.479436e-04	1467.16	733.58	2200.74	293.43
0.7000	0.8000	1	7	3	3	133	195114	132	193801	4.103653e-03	2.051827e-03	1.231096e-02	1.231096e-03	1389.31	694.65	2083.96	277.86
0.7000	0.8000	2	8	4	3	190	277804	183	267802	3.870515e-03	1.935258e-03	1.161155e-02	1.161155e-03	1368.62	684.31	2052.93	273.72
0.7000	0.8000	3	9	1	3	145	213031	143	208883	1.514290e-03	7.571449e-04	4.542869e-03	4.542869e-04	1483.72	741.86	2225.58	296.74
0.7000	0.8000	1	10	2	3	122	178413	116	170691	4.105374e-04	2.052687e-04	1.231612e-03	1.231612e-04	1603.07	801.53	2404.60	320.61
0.8000	0.9000	1	1	1	3	47	69443	46	68038	2.410723e-03	1.205362e-03	7.232170e-03	7.232170e-04	1434.26	717.13	2151.39	286.85
0.8000	0.9000	2	2	2	3	330	481893	325	475408	4.697868e-03	2.348934e-03	1.409360e-02	1.409360e-03	1366.92	683.46	2050.38	273.38
0.8000	0.9000	3	3	3	3	276	403600	273	399468	1.087974e-03	5.439869e-04	3.263922e-03	3.263922e-04	1361.79	680.89	2042.68	272.36
0.8000	0.9000	1	4	4	3	104	152127	103	151192	2.022981e-03	1.011491e-03	6.068943e-03	6.068943e-04	1552.45	776.22	2328.67	310.49
0.8000	0.9000	2	5	1	3	92	134888	90	131534	1.237842e-03	6.189211e-04	3.713527e-03	3.713527e-04	1576.68	788.34	2365.01	315.34
0.8000	0.9000	3	6	2	3	82	121029	82	120664	3.175769e-03	1.587885e-03	9.527308e-03	9.527308e-04	1411.79	705.90	2117.69	282.36
0.8000	0.9000	1	7	3	3	131	191544	129	189519	8.432069e-04	4.216035e-04	2.529621e-03	2.529621e-04	1405.02	702.51	2107.53	281.00
0.8000	0.9000	2	8	4	3	191	279578	190	277855	1.776201e-03	8.881003e-04	5.328602e-03	5.328602e-04	1553.81	776.90	2330.71	310.76
0.8000	0.9000	3	9	1	3	156	227999	153	224832	3.628179e-03	1.814090e-03	1.088454e-02	1.088454e-03	1501.22	750.61	2251.82	300.24
0.8000	0.9000	1	10	2	3	142	207734	141	206783	2.958620e-03	1.479310e-03	8.875859e-03	8.875859e-04	1431.05	715.52	2146.57	286.21
0.9000	1.0000	1	1	1	3	48	71306	47	69920	1.887399e-04	9.436995e-05	5.662197e-04	5.662197e-05	1568.66	784.33	2352.99	313.73
0.9000	1.0000	2	2	2	3	345	504502	330	483124	2.923813e-03	1.461906e-03	8.771439e-03	8.771439e-04	1491.16	745.58	2236.74	298.23
0.9000	1.0000	3	3	3	3	276	403915	264	386006	4.925722e-03	2.462861e-03	1.477717e-02	1.477717e-03	1558.96	779.48	2338.44	311.79
0.9000	1.0000	1	4	4	3	112	163900	108	158451	4.033982e-03	2.016991e-03	1.210195e-02	1.210195e-03	1315.35	657.68	1973.03	263.07
0.9000	1.0000	2	5	1	3	89	130294	86	126039	3.713756e-03	1.856878e-03	1.114127e-02	1.114127e-03	1446.05	723.02	2169.07	289.21
0.9000	1.0000	3	6	2	3	87	128242	85	124516	4.582745e-03	2.291372e-03	1.374823e-02	1.374823e-03	1419.82	709.91	2129.73	283.96
0.9000	1.0000	1	7	3	3	141	206624	141	206221	8.284474e-04	4.142237e-04	2.485342e-03	2.485342e-04	1435.07	717.54	2152.61	287.01
0.9000	1.0000	2	8	4	3	200	292945	199	291451	1.105184e-03	5.525921e-04	3.315553e-03	3.315553e-04	1369.68	684.84	2054.52	273.94
0.9000	1.0000	3	9	1	3	162	237658	158	231161	2.669512e-03	1.334756e-03	8.008537e-03	8.008537e-04	1442.70	721.35	2164.05	288.54
0.9000	1.0000	1	10	2	3	116	170224	116	169765	1.929216e-03	9.646078e-04	5.787647e-03	5.787647e-04	1393.06	696.53	2089.59	278.61
1.0000	1.1000	1	1	1	3	53	77770	52	76443	2.327704e-04	1.163852e-04	6.983111e-04	6.983111e-05	1378.82	689.41	2068.22	275.76
1.0000	1.1000	2	2	2	3	314	459352	301	440485	3.298456e-03	1.649228e-03	9.895368e-03	9.895368e-04	1383.55	691.77	2075.32	276.71
1.0000	1.1000	3	3	3	3	282	412549	274	400114	3.373617e-03	1.686809e-03	1.012085e-02	1.012085e-03	1373.86	686.93	2060.78	274.77
1.0000	1.1000	1	4	4	3	104	152993	99	145546	9.890336e-04	4.945168e-04	2.967101e-03	2.967101e-04	1484.25	742.12	2226.37	296.85
1.0000	1.1000	2	5	1	3	96	140735	93	136370	2.992445e-03	1.496223e-03	8.977336e-03	8.977336e-04	1392.27	696.14	2088.41	278.45
1.0000	1.1000	3	6	2	3	104	152983	104	152588	3.841668e-03	1.920834e-03	1.152501e-02	1.152501e-03	1354.91	677.46	2032.37	270.98
1.0000	1.1000	1	7	3	3	141	206396	134	196308	1.416519e-03	7.082595e-04	4.249557e-03	4.249557e-04	1472.16	736.08	2208.24	294.43
1.0000	1.1000	2	8	4	3	207	302935	202	295750	9.412285e-04	4.706143e-04	2.823686e-03	2.823686e-04	1393.51	696.76	2090.27	278.70
1.0000	1.1000	3	9	1	3	161	235662	160	233655	1.111464e-03	5.557321e-04	3.334393e-03	3.334393e-04	1317.21	658.61	1975.82	263.44
1.0000	1.1000	1	10	2	3	136	199244	135	198391	2.151976e-03	1.075988e-03	6.455927e-03	6.455927e-04	1425.88	712.94	2138.81	285.18
1.1000	1.2000	1	1	1	3	49	71598	48	70177	1.302211e-03	6.511053e-04	3.906632e-03	3.906632e-04	1427.67	713.84	2141.51	285.53
1.1000	1.2000	2	2	2	3	310	453933	302	442041	3.351989e-03	1.675994e-03	1.005597e-02	1.005597e-03	1587.55	793.78	2381.33	317.51
1.1000	1.2000	3	3	3	3	300	439287	286	418452	2.532195e-03	1.266097e-03	7.596584e-03	7.596584e-04	1488.28	744.14	2232.42	297.66
1.1000	1.2000	1	4	4	3	102	149934	100	146151	3.473172e-03	1.736586e-03	1.041952e-02	1.041952e-03	1440.97	720.48	2161.45	288.19
1.1000	1.2000	2	5	1	3	94	138053	92	135224	1.868772e-03	9.343860e-04	5.606316e-03	5.606316e-04	1340.74	670.37	2011.11	268.15
1.1000	1.2000	3	6	2	3	100	146387	98	144427	4.052150e-03	2.026075e-03	1.215645e-02	1.215645e-03	1506.36	753.18	2259.55	301.27
1.1000	1.2000	1	7	3	3	137	200096	136	199972	4.725891e-03	2.362945e-03	1.417767e-02	1.417767e-03	1325.51	662.76	1988.27	265.10
1.1000	1.2000	2	8	4	3	202	295114	192	280859	3.517359e-03	1.758680e-03	1.055208e-02	1.055208e-03	1400.83	700.41	2101.24	280.17
1.1000	1.2000	3	9	1	3	177	258663	175	256450	2.813374e-04	1.406687e-04	8.440122e-04	8.440122e-05	1488.11	744.06	2232.17	297.62
1.1000	1.2000	1	10	2	3	128	186976	126	184402	4.202461e-04	2.101230e-04	1.260738e-03	1.260738e-04	1406.06	703.03	2109.10	281.21
1.2000	1.3000	1	1	1	3	49	72208	48	70821	1.241501e-03	6.207507e-04	3.724504e-03	3.724504e-04	1321.13	660.56	1981.69	264.23
1.2000	1.3000	2	2	2	3	351	512771	339	496124	3.859223e-03	1.929611e-03	1.157767e-02	1.157767e-03	1431.36	715.68	2147.05	286.27
1.2000	1.3000	3	3	3	3	286	418704	278	406514	2.164649e-03	1.082325e-03	6.493948e-03	6.493948e-04	1529.37	764.69	2294.06	305.87
1.2000	1.3000	1	4	4	3	104	153208	100	147337	3.062566e-04	1.531283e-04	9.187699e-04	9.187699e-05	1319.22	659.61	1978.83	263.84
1.2000	1.3000	2	5	1	3	98	143711	98	143351	3.953091e-03	1.976545e-03	1.185927e-02	1.185927e-03	1340.11	670.05	2010.16	268.02
1.2000	1.3000	3	6	2	3	96	141128	92	135250	4.956726e-03	2.478363e-03	1.487018e-02	1.487018e-03	1381.65	690.82	2072.47	276.33
1.2000	1.3000	1	7	3	3	137	200422	131	192169	1.180382e-03	5.901912e-04	3.541147e-03	3.541147e-04	1368.44	684.22	2052.66	273.69
1.2000	1.3000	2	8	4	3	211	309445	211	308327	4.975048e-03	2.487524e-03	1.492514e-02	1.492514e-03	1364.78	682.39	2047.17	272.96
1.2000	1.3000	3	9	1	3	167	244154	160	234686	1.196706e-03	5.983532e-04	3.590119e-03	3.590119e-04	1470.80	735.40	2206.19	294.16
1.2000	1.3000	1	10	2	3	141	206965	135	197957	4.454866e-03	2.227433e-03	1.336460e-02	1.336460e-03	1593.05	796.53	2389.58	318.61
1.3000	1.4000	1	1	1	3	49	72701	48	70550	1.926174e-03	9.630869e-04	5.778521e-03	5.778521e-04	1389.85	694.92	2084.77	277.97
1.3000	1.4000	2	2	2	3	363	530518	346	506011	4.270914e-03	2.135457e-03	1.281274e-02	1.281274e-03	1458.58	729.29	2187.87	291.72
1.3000	1.4000	3	3	3	3	284	415121	278	406107	1.408439e-03	7.042193e-04	4.225316e-03	4.225316e-04	1570.56	785.28	2355.84	314.11
1.3000	1.4000	1	4	4	3	112	164012	111	162675	3.517610e-03	1.758805e-03	1.055283e-02	1.055283e-03	1512.60	756.30	2268.90	302.52
1.3000	1.4000	2	5	1	3	100	146655	95	139536	4.146502e-03	2.073251e-03	1.243951e-02	1.243951e-03	1351.63	675.82	2027.45	270.33
1.3000	1.4000	3	6	2	3	93	136827	91	133457	1.312908e-04	6.564539e-05	3.938723e-04	3.938723e-05	1397.82	698.91	2096.72	279.56
1.3000	1.4000	1	7	3	3	134	196060	131	191550	3.921242e-03	1.960621e-03	1.176373e-02	1.176373e-03	1345.24	672.62	2017.86	269.05
